Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
1;7.406259787;24.64023873;3.326947669;119;54.76955199
2;7.82967903;28.31060949;3.615807159;142.5;60.72792184
3;7.948610943;23.570305;2.965336355;119.5;52.87005723
4;10.90706788;28.68914403;2.630325981;138;62.28427076
5;8.744662166;30.15909515;3.448857667;173;65.45584369
6;7.933863268;25.722688;3.24213906;132.5;57.35533845
7;8.290881348;27.65947855;3.336132479;142.5;62.52691138
8;14.12383784;28.44439832;2.013928412;162;63.11269784
9;7.344522172;24.89586001;3.389718137;115.5;54.18376553
10;14.17027844;27.97204736;1.973994192;157;61.25483322
11;9.147925329;24.77448881;2.708208465;121;55.45584369
12;7.720624528;28.66970454;3.713391894;145;61.59797907
13;8.011837382;28.68332479;3.580118196;148;62.62741661
14;7.88318669;23.35397227;2.962504021;115;52.14213538
15;7.405267814;25.33881094;3.421727827;121;55.79898953
16;7.979839471;27.73370239;3.475471216;143.5;60.04163015
17;8.175962982;29.03417169;3.551162322;154.5;63.6984843
18;7.567389226;30.4345185;4.02179901;146.5;64.384776
19;8.576530082;27.42261851;3.197402475;149.5;61.21320307
20;8.272701324;29.9988232;3.62624275;160.5;64.87005723
21;8.429166704;30.19708194;3.582451623;168;65.25483322
22;8.337400148;28.09488079;3.369741201;152.5;63.35533845
23;8.284048199;27.7782041;3.353216137;148;60.14213538
24;7.928626605;27.87303383;3.515493316;141.5;60.384776
25;8.255401745;27.80929545;3.368618065;148.5;61.35533845
26;8.630894514;26.67508574;3.090651345;150.5;59.6984843
27;8.012889297;28.41899526;3.546660162;148;61.59797907
28;6.426434378;24.72640309;3.847608431;99.5;53.21320307
29;8.175700953;27.86652655;3.408457172;146.5;61.6984843
30;7.401184665;26.62871754;3.597899356;123;59.11269784
31;8.339920936;26.02658949;3.120723768;141;58.62741661
32;7.761973568;27.1803297;3.501729227;135.5;60.18376553
34;9.065438488;29.58899071;3.263933758;155;63.79898953
35;7.192663458;25.83100658;3.591299208;119;57.11269784
36;7.919634032;28.91914752;3.651576248;151;61.59797907
37;8.468170582;27.06861212;3.196512382;148.5;59.55634892
38;7.89350433;25.18889188;3.191091159;128.5;54.18376553
39;8.225682092;28.90487828;3.513979504;150.5;63.6984843
40;8.362024327;26.34676823;3.150764361;143.5;59.21320307
41;7.978245997;27.644489;3.464983283;139.5;59.55634892
42;9.472535822;27.08298262;2.859105854;168.5;62.04163015
43;9.022763104;26.06385289;2.888677514;136;57.45584369
44;7.775057895;26.78016445;3.444368493;133;59.94112492
45;15.22717099;28.18456428;1.850938977;148;61.59797907
46;8.608438422;30.10694609;3.497376018;170;67.25483322
47;7.605466225;25.24356625;3.31913462;121;54.97056246
48;9.058106692;24.98513463;2.758317546;147.5;57.21320307
49;7.670719321;26.69136137;3.479642555;130.5;58.384776
50;8.360803654;26.8595086;3.212551055;146.5;58.384776
52;8.589414016;27.71777222;3.226968938;154.5;60.72792184
53;7.81359231;27.16127635;3.476157352;139;58.42640615
54;14.67733755;28.96720764;1.973600971;170;64.0832603
55;9.096596606;25.91644904;2.849026968;131.5;58.04163015
56;8.135298927;27.65266105;3.399095878;144.5;58.72792184
57;8.739955568;24.33189056;2.783983325;138;54.14213538
58;16.1822902;29.15279907;1.801524921;163;64.76955199
59;8.482836602;29.40958822;3.466952105;155.5;65.6984843
61;12.71654972;29.96110685;2.356072009;169;67.59797907
62;15.0029428;24.57340697;1.637905797;132.5;55.35533845
63;20.57426696;27.33154046;1.328433257;147;62.42640615
64;11.43020227;29.79512207;2.606701207;139.5;63.6984843
65;8.434873436;29.64560601;3.514647403;161;64.62741661
66;8.292984474;27.91480095;3.366074184;148;61.79898953
67;7.804275979;28.83061925;3.694208064;145;63.94112492
68;8.06457874;28.31695546;3.511275216;148.5;62.52691138
69;10.44876891;28.89593636;2.765487171;156.5;63.6984843
70;8.616492868;26.84980277;3.116094122;136.5;58.52691138
71;8.226973066;29.14212541;3.54226581;156;63.45584369
72;7.532453111;26.49929046;3.518015986;128;58.28427076
73;7.649033648;27.53396117;3.599665323;137.5;59.01219261
74;14.2659569;26.21492215;1.837585963;141;58.42640615
75;7.35009868;28.27565031;3.846975604;133.5;59.55634892
76;13.06072439;24.68822193;1.890264367;108;53.94112492
77;7.860523553;25.85448766;3.28915593;131.5;57.6984843
78;8.419818197;27.45332474;3.260560276;152;59.59797907
79;8.115592216;27.16905996;3.347760611;146;58.76955199
80;7.910499854;31.09318456;3.930621975;162.5;67.01219261
81;7.087552148;25.24115671;3.561336296;115;54.62741661
83;8.610145022;29.17993662;3.389018019;164.5;65.84061968
84;7.41806782;25.60203692;3.451308015;120.5;56.87005723
85;8.420940202;27.22092403;3.232527886;148.5;60.52691138
86;7.626461001;29.25415609;3.835875655;147;62.76955199
87;7.736055396;24.43022846;3.157969691;121.5;53.6984843
88;11.6951488;25.51347475;2.181543407;139.5;57.6984843
89;7.405539312;31.7014765;4.28077891;150.5;66.384776
90;8.072330884;27.32147063;3.384582598;144;58.42640615
91;8.656693066;28.67158349;3.312071165;156.5;64.04163015
92;8.308306038;27.61394914;3.323655751;149.5;59.55634892
93;7.49492053;27.73128125;3.700010045;136;59.59797907
94;7.882998264;26.15182046;3.317496666;135;57.11269784
95;20.80358995;27.92845485;1.342482471;175.5;68.32590091
97;8.59684039;27.91390187;3.246995478;157.5;61.01219261
98;8.597522283;28.1240935;3.27118588;152;62.62741661
99;15.86755709;28.41812555;1.790957827;171;65.59797907
100;7.834521901;27.91835105;3.563504118;140.5;61.6984843
101;9.053110135;24.66814947;2.724825955;144.5;56.87005723
;9.166606527;27.42945157;3.15462421;143.640625;60.36262346
