Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
1;8.306259721;22.87565427;2.754025884;122.5;50.72792184
2;8.100973133;25.6746856;3.169333508;136;57.94112492
3;7.881802072;28.55929412;3.623447259;144.5;62.52691138
4;8.360112682;26.86348138;3.213291782;146;58.97056246
5;8.125763184;23.00107548;2.830635715;122;50.97056246
6;8.414937469;28.77074994;3.419009357;158.5;62.384776
7;8.534579337;26.31101904;3.082872395;149;58.28427076
8;8.027177816;23.65741404;2.947164568;123;51.94112492
9;7.946790715;26.56457114;3.342804925;136.5;58.52691138
10;7.77488932;26.82692682;3.450457713;135.5;59.6984843
11;7.025831276;26.43105363;3.761982404;119;57.45584369
12;7.879144378;25.82072866;3.277098048;133.5;56.18376553
13;7.307849171;28.46126702;3.894616097;137;60.76955199
14;7.797288706;27.13009021;3.479426149;136.5;59.35533845
15;7.982229638;27.35063108;3.42644002;146.5;57.84061968
16;8.061859152;26.30710063;3.263155574;139;59.11269784
17;8.123887643;27.56250117;3.392772325;145;61.11269784
18;7.39876135;23.61404928;3.191621971;111.5;52.04163015
19;8.870530767;26.15300191;2.94830181;151;59.45584369
20;7.750949332;25.64469854;3.308588076;130.5;56.18376553
21;9.164164953;27.74364706;3.027405901;153.5;62.04163015
22;14.37581375;25.3859382;1.765878345;141;58.42640615
23;7.66658125;25.93392387;3.38272341;128.5;56.18376553
24;7.04173204;26.8232667;3.809185943;123.5;57.01219261
25;9.236024823;23.55063814;2.54986735;134.5;52.52691138
26;7.268465418;29.38365774;4.042621936;136;62.14213538
27;7.884040804;21.12576348;2.679560394;106.5;47.55634892
28;8.159513871;23.99375186;2.940585951;128.5;53.35533845
29;7.841595304;28.98640824;3.696493776;148.5;63.35533845
30;8.193275314;26.89254146;3.282269963;143;59.45584369
31;8.777339122;23.31493613;2.656264706;111.5;50.52691138
32;8.080407161;26.34649876;3.26054099;139;58.62741661
33;11.86038826;28.06144148;2.365980006;144;60.28427076
34;6.976149003;24.12777924;3.458610077;107.5;52.04163015
42;7.648675783;23.84168092;3.117099168;117;52.97056246
43;8.844021722;25.33736976;2.864914917;145;56.97056246
44;8.432240763;22.855765;2.710520921;124;52.62741661
45;7.792273987;21.55158685;2.765763484;107.5;48.52691138
46;7.699260224;22.81744797;2.963589658;114.5;51.6984843
47;8.125409889;25.46209057;3.133637676;134.5;56.384776
48;8.032072145;30.58465454;3.807816213;159;65.45584369
49;7.965487446;27.4753134;3.449294671;140.5;60.87005723
50;15.13924041;25.5775932;1.689489863;131.5;58.52691138
51;8.76824682;22.97925979;2.620735965;132;53.11269784
52;8.499380642;28.20746414;3.318767017;156.5;61.35533845
53;8.444475339;27.19591402;3.220556983;152.5;60.18376553
54;8.13137101;26.14994326;3.215932864;137.5;58.87005723
55;8.457125706;25.05935826;2.963105803;128.5;56.87005723
56;8.32421756;27.006192;3.244291947;148;61.11269784
57;8.422153738;22.82676085;2.710323459;126.5;50.72792184
58;8.111462865;26.60617241;3.280070791;144;57.59797907
59;13.84100165;27.05860108;1.954959747;137.5;59.84061968
60;7.868479925;26.86153352;3.413814838;134;57.79898953
62;8.989132656;28.15784516;3.132431819;132.5;61.01219261
63;7.761308458;28.97473533;3.733228165;146;63.59797907
64;7.13048569;28.51106061;3.998473855;132;60.76955199
65;8.789867337;27.76738902;3.159022538;130;59.79898953
66;7.290143469;26.35557431;3.615233969;125.5;57.35533845
67;17.57152892;23.30318916;1.326190183;119.5;54.18376553
68;8.087228853;24.56779682;3.037851069;126.5;54.52691138
69;9.347828301;25.94089608;2.775071947;151;56.76955199
70;7.58255812;26.6117524;3.509600847;127;56.14213538
71;11.37785631;25.38676031;2.23124283;119;55.11269784
72;8.180925417;25.49859581;3.116835139;138.5;55.35533845
73;8.371507647;28.897463;3.45188277;154;63.59797907
74;8.078984894;25.93234356;3.209851721;137;57.94112492
75;10.08388642;27.60246079;2.737283983;134.5;59.35533845
76;13.32102534;25.91208453;1.945201954;124;57.59797907
77;8.399470485;28.73976965;3.421616839;158;62.76955199
78;7.605051489;23.67690531;3.113312953;119;50.76955199
79;7.522051469;25.81221217;3.431538893;123;55.31370831
80;8.681334022;27.14006237;3.126254825;148.5;61.21320307
