Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
1;7.345919912;25.34235568;3.449854611;120;55.94112492
2;7.527354181;24.84596178;3.300756305;121.5;54.384776
3;6.756497925;22.67609515;3.356190649;98.5;48.87005723
4;8.274321766;25.52741711;3.085137107;138.5;55.55634892
5;6.859596147;24.14818454;3.520350764;107;52.28427076
6;12.42907816;26.6145549;2.141313664;137.5;60.52691138
7;7.313351427;23.73032443;3.244794766;111;50.76955199
8;11.72930256;28.66481918;2.443863907;130.5;59.6984843
9;18.3841426;27.53154109;1.497570036;136;60.76955199
10;7.661161354;26.87577138;3.508054477;130.5;59.21320307
11;7.484998903;28.151129;3.761006429;135;60.62741661
12;16.46576897;24.25673898;1.473161626;129.5;57.84061968
13;12.85459523;24.68633998;1.920429196;113;54.76955199
14;7.418389472;28.6378517;3.860386652;134.5;59.84061968
15;7.77824939;27.84658226;3.580057782;140.5;61.35533845
16;12.78146863;29.15559599;2.281083405;127.5;62.52691138
17;7.517323851;27.58974624;3.670155335;135.5;59.35533845
18;7.462182244;27.55303393;3.692356074;131.5;59.21320307
19;7.581446807;27.35925511;3.608711609;133.5;60.04163015
20;6.927824772;28.28249153;4.082449031;121;61.11269784
21;7.205429583;28.4645158;3.950425921;132.5;61.6984843
22;7.176011781;26.70783425;3.721821406;126.5;57.01219261
23;6.700504073;27.91887506;4.166682798;120.5;57.84061968
24;7.462756594;29.43458255;3.94419705;136;62.14213538
25;7.188501155;24.00222137;3.338974406;111;52.62741661
26;12.86688842;24.07037892;1.870722597;98.5;52.52691138
27;7.555867298;22.96760382;3.0397045;111.5;50.52691138
28;8.227353846;28.44084719;3.456864469;148.5;62.384776
29;7.612753288;28.59840654;3.756644338;136;59.31370831
30;8.935676515;27.87887605;3.119951355;134;59.59797907
31;9.57586254;26.17567799;2.73350603;136;58.76955199
32;6.609586226;25.77661079;3.899882671;106.5;56.04163015
34;7.849137092;26.17146601;3.334311238;132;57.94112492
35;6.962586821;27.56585937;3.959140487;122;58.62741661
36;7.220850714;23.77190728;3.292120032;109;52.28427076
38;7.565532802;28.00459976;3.701603111;135;61.11269784
39;11.75988964;30.04337437;2.554732679;145.5;63.84061968
40;7.580243243;30.93043528;4.080401418;152;66.28427076
41;7.876373967;25.5352611;3.242007199;130;57.11269784
42;7.968579847;28.98804933;3.63779367;146.5;62.384776
43;8.142811719;24.98137918;3.067905785;119;53.94112492
44;7.352393111;26.4208723;3.593506482;125.5;57.35533845
45;8.332362646;25.71398765;3.086037987;127.5;55.01219261
46;7.116588408;23.61589138;3.318428723;106.5;51.55634892
47;6.469677011;27.57953274;4.262891748;112.5;56.72792184
48;7.456297394;26.56627308;3.562930994;127;59.11269784
49;7.035093693;26.74320859;3.801400487;121;58.28427076
50;7.263932783;27.20762198;3.745577333;122.5;59.6984843
51;17.34781292;24.31181744;1.401434149;130;55.59797907
52;6.496584932;24.97282499;3.84399269;102.5;53.21320307
53;7.456201128;24.61600364;3.301413577;116.5;53.35533845
54;22.40490284;24.88923175;1.11088327;148.5;61.84061968
55;15.82042984;23.49891943;1.485352779;116.5;56.18376553
58;6.459080556;25.12679065;3.890149756;103;54.28427076
59;7.91454708;28.68675257;3.624560229;149;61.59797907
60;6.942703857;23.57835293;3.396134045;98.5;50.72792184
61;7.659122501;25.35696012;3.310687368;123;55.79898953
62;7.48691412;31.09358305;4.153057261;147;65.79898953
63;7.091164326;27.22701349;3.839568827;124.5;58.384776
64;7.523644758;27.52520151;3.658492976;132;59.94112492
65;8.171699717;26.68533512;3.265579506;140;58.97056246
68;7.571152738;26.76856126;3.53559916;127;57.79898953
69;8.188704866;29.53348742;3.606612755;156;62.97056246
74;7.757344897;25.56721193;3.295871496;127.5;56.52691138
75;8.008600204;26.86680923;3.354744717;134.5;57.55634892
76;7.40353245;26.76669036;3.615394481;127.5;57.35533845
77;7.450912623;26.36897113;3.539025682;126;56.97056246
78;7.377803145;25.52569479;3.459796133;114;53.94112492
80;7.288503202;29.82875309;4.092575974;141;63.94112492
81;15.90848787;23.6677635;1.487744384;118;57.59797907
82;7.069119123;22.28915381;3.153031294;98;49.31370831
83;7.605378746;25.26737351;3.322303117;120.5;56.52691138
84;7.380581285;24.3182373;3.294894584;113.5;53.6984843
85;7.931732331;28.1653963;3.55097665;150;60.42640615
86;6.908179421;24.86251058;3.598996069;112;51.59797907
87;11.4295127;24.24679359;2.121419717;114.5;54.52691138
88;11.40536166;21.84035391;1.914919891;104.5;48.87005723
89;7.830436098;29.25753513;3.736386424;145;62.76955199
90;7.230011756;26.07343013;3.606277695;120;56.62741661
91;7.138037824;27.79421951;3.893817908;123;61.11269784
92;7.108684145;28.14064225;3.958628865;126.5;59.55634892
93;8.118917824;28.60436899;3.523175084;148.5;62.384776
94;8.231870111;27.23650549;3.308665604;146;59.59797907
95;7.709592449;28.85894051;3.743251112;141;61.79898953
98;7.324644732;23.98548767;3.274628128;108;52.97056246
99;7.577474289;29.25036349;3.860173242;142;63.45584369
100;8.089123606;28.40363304;3.511336261;145;62.62741661
101;7.720584079;28.40064428;3.67856162;141.5;62.87005723
102;6.901770941;25.70914951;3.725007643;111;54.97056246
103;7.857937161;29.66927484;3.775707826;153.5;62.66904676
104;7.514170113;25.33124789;3.371130479;117;54.97056246
106;7.887945231;24.39176146;3.092283319;120;53.31370831
107;7.720639946;27.04649791;3.50314198;134.5;58.87005723
108;7.349552015;27.30585385;3.715308606;130;57.59797907
109;8.123489071;28.05941254;3.454108487;145.5;59.55634892
;8.552811724;26.55498375;3.31236477;127.1263158;57.78411583
