Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
1;8.95645993;24.14518328;2.695840038;142;55.79898953
2;6.960046061;20.13674098;2.893190764;89;44.14213538
3;8.063186291;24.94598975;3.093812898;130;56.28427076
4;8.41142186;24.11849653;2.867350721;131.5;55.21320307
5;8.005603541;22.83732299;2.852667244;120;51.11269784
6;8.531291994;22.15950509;2.597438361;123.5;50.87005723
7;8.594118265;22.48072034;2.615826272;125;51.79898953
8;7.231066377;22.58196354;3.122909177;106;50.28427076
9;8.626637017;25.73846644;2.983603737;145.5;58.52691138
10;8.376653526;24.55963;2.931914269;135;55.45584369
11;6.567193921;20.55781164;3.130379868;86.5;43.6984843
12;8.705890435;26.83201494;3.082052908;137.5;59.35533845
13;8.558145048;23.95590149;2.799193208;134;55.11269784
14;8.74557083;25.67596134;2.935881699;131.5;56.04163015
15;8.394500911;23.1960307;2.763241192;128.5;52.52691138
16;7.018227099;20.73150437;2.953951771;94.5;44.87005723
17;8.328645506;22.06880146;2.649746761;118.5;50.384776
18;7.039948954;18.29829638;2.599208673;79;41.31370831
19;9.192063858;25.93346397;2.821288491;143.5;58.04163015
20;8.760091396;24.81621847;2.832872095;144.5;56.18376553
21;8.187414223;22.36268127;2.731348465;118;51.11269784
22;7.26604807;21.14731997;2.910429406;96;47.79898953
23;8.354414671;21.46177467;2.568914222;118.5;47.6984843
24;8.752959664;25.29830385;2.890257104;142;56.62741661
25;13.80188693;21.05284622;1.525359999;88.5;47.35533845
26;8.568105855;21.60801841;2.521913101;117.5;49.55634892
27;7.93156639;24.54209468;3.094230506;128;53.94112492
29;8.140716512;24.38877008;2.995899691;131;54.28427076
30;13.03704395;25.07948381;1.923709386;140.5;57.6984843
31;7.067628583;22.78791875;3.224266596;102.5;50.384776
32;8.883549793;26.07806088;2.935545079;153;58.62741661
33;8.207589804;24.5657693;2.993055195;130.5;55.21320307
34;8.335702315;24.29236423;2.914255249;133.5;53.35533845
35;8.415820511;25.64975125;3.047801603;142.5;57.35533845
36;8.712594327;26.6533222;3.059171723;147.5;59.21320307
37;7.902649955;22.13806676;2.801347255;109.5;48.72792184
38;7.369573032;24.85564046;3.372738197;116.5;53.6984843
39;8.45883176;25.19274408;2.978277;140;57.11269784
40;8.403248803;20.92300379;2.489870797;116;47.11269784
41;7.67142495;20.49741772;2.67191791;101;46.62741661
42;8.131275341;22.16815287;2.726282403;117;50.28427076
43;8.379915582;21.52535984;2.568684568;115.5;48.72792184
44;7.692840123;24.53882743;3.189826779;119.5;51.89949477
45;7.309903051;19.37925359;2.651095843;88.5;42.72792184
46;7.797806432;22.48036554;2.882908897;111.5;52.04163015
47;9.489827069;24.15944121;2.545825233;115;53.45584369
48;8.207615426;22.62928131;2.757107897;119.5;51.35533845
49;8.373719175;23.83789415;2.846751086;131.5;53.6984843
50;8.234146758;25.58665915;3.107384396;137.5;56.18376553
51;8.94054766;23.47296717;2.625450706;137;53.79898953
52;13.38068635;22.2292678;1.661295035;129.5;52.18376553
54;7.925534452;23.30298415;2.940241355;118;53.11269784
55;8.548078296;26.62481563;3.114713589;144;58.76955199
56;8.291086691;24.04592107;2.900213442;128;55.45584369
57;8.191502291;25.17451492;3.07324762;135;55.79898953
58;8.432286257;25.28854423;2.999013964;139.5;56.87005723
59;7.133991975;21.54639598;3.020243933;97.5;48.04163015
60;8.404798824;24.5856497;2.92519193;136;54.76955199
61;7.662697171;23.4308456;3.057780449;112;52.62741661
62;7.954178488;20.64547923;2.595551415;103.5;46.384776
63;7.367226007;22.33394358;3.031526867;107.5;48.52691138
64;8.383762811;22.26492072;2.655719302;121.5;50.384776
65;8.083418177;24.41460978;3.020332394;129;53.94112492
66;8.651420833;25.50435305;2.947995889;144.5;55.55634892
67;6.971780727;23.86846007;3.423581578;108.5;51.35533845
68;10.65603214;26.74146453;2.509514251;127.5;58.52691138
69;8.578302183;26.07133443;3.03921847;146;58.62741661
70;7.13830648;22.88218393;3.205547981;103;50.62741661
71;7.275017334;23.56624642;3.239338869;107.5;52.384776
72;8.391742504;23.21241462;2.766101868;127.5;52.384776
73;8.332570037;23.79250226;2.85536181;128;52.97056246
74;7.954128306;25.68399896;3.229014918;134;56.28427076
75;7.884633681;25.68629694;3.257766686;132;54.76955199
76;7.645272267;21.58389345;2.823168711;106.5;47.55634892
77;7.829958369;21.8232805;2.787151537;109;48.97056246
78;8.439334386;25.97353712;3.077676027;147;56.76955199
79;8.225778484;23.10859913;2.80929023;122.5;51.55634892
80;12.37439339;24.34799022;1.967610812;127;53.94112492
81;8.129914595;26.10935378;3.211516366;137.5;57.55634892
82;8.002917511;21.97396693;2.745744524;115;48.97056246
85;8.546493652;25.33406154;2.964263776;140;55.94112492
86;9.944767417;23.33544084;2.346504434;121.5;52.87005723
