Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
1;6.970720668;25.99504415;3.729175991;118;56.76955199
2;8.061127992;29.0747418;3.606783298;152;62.62741661
3;8.244014807;26.53147265;3.218270864;139.5;58.384776
4;7.322576969;23.00619962;3.141817384;107;50.28427076
5;7.633433459;24.1212323;3.159945316;118;53.45584369
6;7.316799926;25.77559886;3.522796731;122.5;55.35533845
8;7.148720755;26.47581609;3.703573967;122;58.28427076
9;7.702683949;30.23965971;3.925860117;149;64.62741661
10;7.660273068;30.33675704;3.960270968;152.5;62.66904676
11;8.067573128;25.89736371;3.21005627;135;57.79898953
12;7.639460345;26.60831115;3.483009264;131;57.94112492
13;7.430483503;28.53981275;3.840909241;135;62.28427076
14;7.740490234;29.03704964;3.751319201;142;62.14213538
15;8.474169996;25.15288847;2.968183136;138;57.11269784
16;7.922949947;27.50614282;3.471704731;138;61.94112492
17;7.863360768;27.17700356;3.456156262;138.5;59.6984843
18;6.975994303;27.47840794;3.938995181;122;58.62741661
19;8.291489568;29.87550546;3.603152994;159.5;65.21320307
20;6.459486936;25.98220246;4.022332226;105;56.14213538
21;7.398144957;24.90876082;3.366892778;119.5;53.01219261
22;7.256075763;29.06958153;4.006240077;133;60.97056246
23;7.895297036;27.36107804;3.465490648;139;58.76955199
24;10.39722684;25.19954033;2.423678998;113.5;55.35533845
25;7.588234467;24.80661644;3.269089344;122;54.28427076
27;7.961966959;25.16233813;3.160316823;124.5;56.87005723
28;7.366965066;26.73548199;3.629103946;124.5;58.384776
29;8.506700809;25.56991018;3.00585512;133.5;55.35533845
30;7.129470482;26.72255405;3.748182158;121.5;58.52691138
31;12.86231138;31.63395093;2.459429723;145;65.94112492
33;7.726585443;26.4704595;3.425893585;112;54.97056246
34;7.591856154;28.11037702;3.70270148;135;61.45584369
35;7.291997793;28.18607032;3.865342684;132.5;59.55634892
36;8.24221606;26.12049067;3.169110161;135.5;57.21320307
37;6.992742972;27.17913214;3.88676264;118.5;57.55634892
38;6.731511245;27.98273977;4.156977349;123.5;59.01219261
39;7.477331853;22.94539271;3.068660475;106;51.45584369
41;7.406937207;25.68326172;3.467460437;120.5;56.52691138
42;8.05036;23.15031258;2.875686625;118.5;52.384776
43;7.180536367;25.94673953;3.613482085;121;56.28427076
44;6.862200193;28.63565575;4.172955458;126.5;61.6984843
45;8.062355131;25.20337682;3.126056395;132;57.11269784
46;8.026086698;27.68400996;3.44925379;145;60.76955199
47;7.250838607;27.89554977;3.84721703;129.5;60.52691138
48;7.980016213;27.95226424;3.502782889;143;62.62741661
49;8.098630058;27.928002;3.448484719;148.5;60.18376553
50;7.529657031;25.87766945;3.436766023;123;54.48528123
51;8.021338221;23.93318294;2.983689539;113.5;52.52691138
52;7.729353154;27.51629429;3.559973744;137;60.28427076
53;6.417358912;24.85415456;3.872956913;99.5;54.52691138
54;7.387449306;26.0220679;3.522469912;122;57.45584369
55;7.969340217;27.49063095;3.449549172;138;58.97056246
56;7.684568044;24.18322328;3.14698538;120;53.11269784
57;9.017346406;27.1340063;3.009089934;130.5;58.04163015
58;7.031512359;20.59144765;2.928452173;89;44.48528123
59;7.115700374;25.29111179;3.554268795;115;54.97056246
60;16.54964198;23.13209639;1.397739989;110;53.59797907
61;16.82665935;27.54982536;1.637272425;144.5;63.35533845
62;7.260373043;25.04975652;3.450202404;112;53.31370831
63;7.750084154;27.33067057;3.526499846;134.5;60.52691138
64;13.75224226;25.11223733;1.826046752;113.5;54.52691138
65;10.27771871;26.15365932;2.54469499;141;56.42640615
66;7.887752762;23.35396853;2.96078861;115;51.31370831
67;6.959595998;24.42391936;3.509387523;108.5;52.52691138
68;7.775908922;29.21433615;3.757031679;144;63.45584369
69;7.903109337;29.88060253;3.780866651;150.5;65.21320307
70;16.17777747;22.70384287;1.403396907;121.5;52.52691138
71;7.157451564;22.75242575;3.178844529;105;49.11269784
72;9.859376202;27.98007272;2.837915112;125;60.28427076
73;8.355889486;27.16836465;3.251403061;148.5;59.01219261
74;7.499868465;25.8291001;3.443940414;122;57.11269784
76;8.015603312;26.9387419;3.36078781;137.5;59.21320307
77;7.645318176;28.11718004;3.677699135;136;60.14213538
