Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
1;8.120181349;23.00450518;2.833003869;120.5;51.6984843
2;8.314304301;30.19107656;3.631221022;167;66.0832603
3;7.913193421;24.80064363;3.134087884;123.5;53.55634892
4;6.332933388;28.50373466;4.50087391;113.5;57.89949477
5;8.265070716;23.87728825;2.888939377;129;53.94112492
6;7.17734111;26.87708031;3.744712686;123;57.31370831
7;7.276791892;25.81341606;3.547362141;121;55.31370831
8;15.2015459;23.3856924;1.538375935;110.5;53.35533845
9;6.940391027;27.78537322;4.003430515;114;58.97056246
10;6.890559743;24.46258799;3.550159769;107.5;52.87005723
11;6.919072747;27.47896638;3.971481061;123;56.42640615
12;6.65010666;23.89603412;3.593330956;99;51.79898953
13;7.316990492;28.30228171;3.868022207;134.5;60.18376553
14;7.728689149;28.76839795;3.722286845;141;60.97056246
15;7.000615723;25.01707361;3.573553328;114.5;53.35533845
16;13.64537268;26.13543164;1.91533293;136;59.11269784
17;7.624709837;26.58125918;3.486199442;132.5;57.01219261
18;8.70880951;27.87149355;3.200379285;156;63.11269784
19;7.714822268;25.74446006;3.337012722;126;56.62741661
20;9.760451677;27.23359024;2.790197743;113;55.79898953
21;6.421631063;25.7966802;4.017153889;104.5;55.35533845
22;15.04283582;22.04360618;1.465389003;116;51.59797907
23;7.704655124;28.94708974;3.757090911;141.5;61.55634892
24;8.195467695;24.32469343;2.968066539;111.5;55.35533845
25;7.900744295;28.84356642;3.650740405;149;62.14213538
26;7.24336187;26.58203117;3.669847186;122;56.97056246
27;7.654341346;30.36771672;3.967384697;153.5;64.66904676
28;8.796178977;24.77788871;2.816892286;110.5;52.384776
29;6.677463477;26.46204601;3.962888917;111.5;57.21320307
30;7.258089;27.79152198;3.829041223;132;60.76955199
31;7.498450762;26.25605354;3.501530432;123;57.79898953
32;13.38728406;23.54616864;1.758845822;128.5;53.35533845
34;7.832100248;22.39768482;2.859729078;112;50.62741661
35;7.028864303;27.31298511;3.885831897;126;58.42640615
36;6.742267947;26.17492954;3.882214375;111;55.79898953
37;11.45596164;28.62594468;2.498781472;136.5;62.52691138
38;6.895806386;31.62841294;4.58661557;139.5;67.6984843
39;12.13952246;23.09820402;1.902727566;103.5;52.52691138
40;6.957153047;25.46550286;3.660333859;110.5;55.55634892
41;7.678077061;26.51801501;3.453731293;133;57.11269784
42;7.733002041;21.33360153;2.758773555;109;45.94112492
43;6.951145293;26.06533934;3.74979061;117.5;55.35533845
44;7.255841287;28.21000961;3.887903345;131;60.97056246
46;11.83072045;26.13873256;2.209394827;128.5;57.6984843
47;7.098222122;26.25245953;3.698455625;119.5;56.52691138
48;7.917895343;25.66298757;3.241137507;128.5;57.21320307
49;6.404172797;22.35318238;3.490409002;92;46.76955199
50;6.964328803;24.45506992;3.511475494;108.5;53.21320307
51;10.69469821;26.46937915;2.475000102;127.5;57.01219261
53;7.832157109;28.71873992;3.666772706;143.5;61.21320307
54;8.374202314;26.67977773;3.185948552;145;61.11269784
55;7.060889206;27.41445886;3.882578818;125.5;59.01219261
56;7.678992739;28.56434716;3.719803903;141;60.97056246
57;7.561341955;26.83672596;3.549201468;130;56.48528123
58;16.7181787;24.27197769;1.451831454;137;57.59797907
59;8.433308949;20.04301893;2.376649432;108.5;46.72792184
60;7.1422883;26.27813134;3.679231395;117;56.14213538
61;7.721432526;26.33965134;3.411238945;126.5;58.87005723
62;8.569625051;25.54961913;2.98141622;124.5;56.52691138
63;8.425000234;23.71253221;2.814543804;130;53.11269784
64;7.793707725;26.10791695;3.349871187;131.5;57.6984843
65;6.986922832;24.96933387;3.573724009;113;54.28427076
66;7.492437806;27.01531446;3.605677505;130.5;58.52691138
67;7.134619933;30.04746244;4.211501485;135.5;64.87005723
68;6.93510479;26.01950279;3.751854309;117;54.76955199
69;8.150648126;28.671224;3.517661854;148;62.62741661
70;9.150252196;26.20864989;2.864254376;120.5;57.35533845
71;8.341411605;24.94698927;2.990739512;131;54.97056246
73;7.579613009;24.62706576;3.249119148;119.5;54.87005723
74;8.595920044;28.1519523;3.275036547;158;62.62741661
75;6.973991461;25.96725836;3.723442809;114.5;55.55634892
76;6.40117485;21.22856983;3.316355251;85;46.14213538
78;8.062215889;28.32264399;3.51300987;150;61.59797907
79;6.779742147;21.05514339;3.105596487;87.5;45.89949477
80;7.73506074;28.45982601;3.679328058;144.5;61.6984843
81;16.14352869;30.36304808;1.880818541;155.5;66.52691138
82;10.06777336;26.10810393;2.593235168;132.5;58.52691138
83;14.8758454;26.34242975;1.770819005;133;59.59797907
84;15.06718623;27.67619402;1.836852189;147;62.42640615
85;8.410930743;24.14391577;2.870540313;130.5;55.6984843
86;7.25987705;25.08927123;3.45588101;116.5;54.384776
87;7.691301295;25.83550014;3.359054488;124.5;56.384776
90;7.988994535;27.74349465;3.472714186;144;61.11269784
91;7.827498734;29.78090694;3.804651773;150;65.11269784
92;7.550295912;23.18668555;3.070963817;111;50.14213538
93;7.315380935;23.54316991;3.21831086;102.5;53.21320307
94;6.869847546;29.64270819;4.314900439;128.5;63.21320307
95;7.180687964;28.12053112;3.916133282;129.5;58.72792184
96;7.409134638;28.4663734;3.842064531;133.5;62.04163015
;8.428660222;26.20092198;3.278656953;125.7921348;57.12270083
