Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
1;8.796115152;21.83027846;2.481809081;118.5;49.35533845
2;8.828577413;22.73980994;2.575704881;133;52.28427076
3;8.014013493;27.64236912;3.449254127;141.5;61.21320307
4;8.055925006;20.88404876;2.59238371;108;47.79898953
5;7.631214497;28.30566569;3.709195398;142.5;60.18376553
6;8.013924099;28.74175959;3.58647764;151.5;61.84061968
7;8.282093507;27.76071239;3.351895553;146;61.94112492
8;7.240275544;28.50548693;3.937072112;133;61.11269784
9;8.321352041;25.70844311;3.089455053;139;57.11269784
10;8.090521398;21.65748326;2.676895863;108;48.97056246
11;7.314948938;25.62529244;3.503140303;119.5;55.21320307
12;7.756137094;28.24734579;3.641934825;142;59.59797907
13;7.280427014;26.65861344;3.661682672;126;57.45584369
14;7.318376022;22.8628903;3.124038753;108.5;50.87005723
15;7.625512612;29.55575769;3.875904375;143;64.76955199
16;8.687920797;21.17328906;2.437095083;119;49.79898953
17;14.51309251;26.58526334;1.831812436;132;61.11269784
18;7.641583293;23.56277273;3.083493541;115.5;52.87005723
20;8.31186919;26.60862546;3.201280584;143.5;60.04163015
21;12.78086212;30.07285473;2.352959795;156;65.11269784
22;8.110472919;27.32762941;3.369424901;142;59.79898953
23;7.84641096;23.77920962;3.030584269;121;53.11269784
24;6.505509224;26.84534688;4.126555808;112;57.11269784
25;8.379166375;26.03360524;3.106944543;143.5;58.04163015
26;8.786500564;24.50538241;2.788980919;140.5;56.87005723
27;7.123700573;27.75181063;3.895701446;125.5;57.89949477
28;7.864036883;20.06221522;2.551134426;98.5;46.384776
30;7.057384678;25.34344104;3.591052805;113;54.97056246
31;7.56297;28.93650678;3.82607716;140;62.62741661
32;9.104683408;29.26464275;3.214240566;154;63.59797907
33;7.031567647;27.14368889;3.860261361;121;59.45584369
34;8.14394126;25.46737703;3.127156277;134;56.76955199
35;7.513417513;26.1892621;3.485665751;127;55.31370831
36;15.61166668;24.98211838;1.600221096;134.5;56.18376553
37;7.480166908;22.78816681;3.046478386;110;50.28427076
38;7.211693235;27.21442157;3.773652134;129.5;57.01219261
39;8.97391315;27.56284466;3.071440987;134;59.45584369
40;7.49202636;26.8993494;3.590397057;129;59.45584369
41;7.802817459;27.68785245;3.548442931;141.5;61.35533845
42;8.462474169;28.73117589;3.39512716;156.5;65.35533845
43;7.646683706;21.57492635;2.821474927;106;48.62741661
44;10.41206907;29.04061537;2.789130112;121.5;58.04163015
45;11.40927135;24.77155923;2.171178024;111.5;53.01219261
46;8.134644622;24.20930953;2.976074636;124.5;53.55634892
47;7.183226823;24.90885263;3.467641109;115;54.28427076
48;8.654858916;28.5539149;3.299177396;163.5;63.6984843
49;8.204427477;25.99558494;3.168482507;137;58.76955199
